"date","H1","ph1","H10","ph10"
1986-05-30,1296.11087296229,"1",1009.7690703944,"1"
1986-06-02,916.825408814325,"1",872.952533495439,"1"
1986-06-03,1007.45710766552,"1",1104.20052946788,"1"
1986-06-04,1143.05633541188,"1",906.175580367144,"1"
1986-06-05,978.867335553228,"1",773.546009862891,"1"
1986-06-06,712.588137507446,"1",561.838267143666,"1"
1986-06-09,567.666134748219,"1",616.820087581386,"1"
1986-06-10,647.834433648711,"1",664.308956993133,"1"
1986-06-11,728.614263458248,"1",1495.0240901982,"1"
1986-06-12,1320.23705406843,"1",2276.24828191555,"1"
1986-06-13,2393.75145817575,"1",3582.25610649759,"1"
1986-06-16,3512.9230608601,"1",4348.00509186102,"1"
1986-06-17,4319.7811171139,"1",5041.46705887132,"1"
1986-06-18,4995.33999547963,"1",5699.98781587033,"1"
1986-06-19,5618.54609407969,"1",6592.58081917193,"1"
1986-06-20,6571.95267181779,"1",7671.4239646297,"1"
1986-06-23,7501.48651795677,"1",8182.82605478168,"1"
1986-06-24,8068.79884131983,"1",8803.20127451866,"1"
1986-06-25,8664.96388937749,"1",9450.02480202877,"1"
1986-06-26,9175.83762913189,"1",9702.78290817223,"1"
1986-06-27,9621.96351511205,"1",10195.884984733,"1"
1986-06-30,10085.2427800073,"1",10700.7387098047,"1"
1986-07-01,10558.049936643,"1",11067.6439878053,"1"
1986-07-02,11145.5327457893,"1",10839.1437776187,"1"
1986-07-03,10790.1632991536,"1",10792.4661488812,"1"
1986-07-07,10626.659309232,"1",10460.8767030985,"1"
1986-07-08,10415.3579009215,"1",10447.429020618,"1"
1986-07-09,10472.6185882227,"1",10724.4148848746,"1"
1986-07-10,10620.7697443127,"1",10976.5363854296,"1"
1986-07-11,11009.2591981169,"1",11366.2514185093,"1"
1986-07-14,11287.4336210815,"1",11376.734086327,"1"
1986-07-15,11300.748083319,"1",10932.6505340897,"1"
1986-07-16,10981.964605725,"1",10943.8249345291,"1"
1986-07-17,10959.2354350604,"1",10090.5770553599,"1"
1986-07-18,10089.8335044655,"1",8933.89496571162,"1"
1986-07-21,8750.61689585637,"1",8403.02659589025,"1"
